University name
"355","American College of Hairstyling - Cedar Rapids"
"356","American College of Hairstyling - Des Moines"
"357","American College of Health Professions - Riverside"
"358","American College of Healthcare"
"359","American College of Healthcare Sciences"
"360","American College of Medical Technology"
"361","American College of Traditional Chinese Medicine"
"362","American College, The (of Financial Services)"
"363","American Collegiate English (ACE), Grossmont College"
"364","American Comedy Institute"
"365","American Commercial College"
"366","American Commercial College"
"367","American Commercial College - Abilene"
"368","American Commercial College of Texas"
"369","American Conservatory Theater"
"370","American Educational College - Bayamon"
"371","American English College"
"372","American English Institute"
"373","American Film Institute"
"374","American Fitness and Nutrition Academy"
"375","American Graduate University"
"376","American Hair Academy"
"377","American Harbor College"
"378","American Health Information Management Association"
"379","American Health Institute"
"380","American Health Science University"
"381","American Indian College"
"382","American Institute"
"383","American Institute - Lauderdale Lakes"
"384","American Institute for Paralegal"
"385","American Institute of Allied Health"
"386","American Institute of Alternative Medicine"
"387","American Institute of Alternative Medicine"
"388","American Institute of Applied Science"
"389","American Institute of Baking"
"390","American Institute of Beauty"
"391","American Institute of Clinical Massage"
"392","American Institute of Interior Design"
"393","American Institute of Massage"
"394","American Institute of Massage Therapy"
"395","American Institute of Massage Therapy"
"396","American Institute of Medical Sciences and Education"
"397","American Institute of Medical Sonography"
"398","American Institute of Medical Technology"
"399","American Institute of Medical-DentalTechnology - St. George"
"400","American Institute of Pharmaceutical Technology"
"401","American Institute of Technology - Fontana"
"402","American Institute of Technology - Gardena"
"403","American Institute of Trucking"
"404","American Institute of Trucking"
"405","American Institute of Trucking"
"406","American InterContinental University"
"407","American International  College"
"408","American Jewish University"
"409","American Language Academy"
"410","American Language Academy Miami"
"411","American Language Academy, California"
"412","American Language Center"
"413","American Language Communication Center - Elmhurst"
"414","American Language Communication Center - Manhattan"
"415","American Learning Institute"
"416","American Medical Academy"
"417","American Medical Sciences Center"
"418","American Museum of Natural History - Richard Gilder Graduate School"
"419","American Musical and Dramatic Academy - Los Angeles"
"420","American Musical and Dramatic Academy - New York"
"421","American National College"
"422","American National College"
"423","American National University"
"424","American National University - Salem"
"425","American One English Schools"
"426","American Pacific College"
"427","American Pacific College - Los Angeles"
"428","American Pathways University"
"429","American Public University System"
"430","American River College"
"431","American Samoa Community College"
"432","American School of Business"
"433","American School of Technology"
"434","American Scientific Institute"
"435","American Sentinel University"
"436","American Studies Program, Willamette University"
"437","American Technical Institute"
"438","American Technological College"
"439","American Technological College - Ponce"
"440","American Trade School"
"441","American Truck School"
"442","American University"
"443","American University of Armenia"
"444","American University of Beirut"
"445","American University of Health Sciences"
"446","American University of Puerto Rico"
"447","American Vocational College dba California Language School"
"448","American Winds Aviation"
"449","American Winds Flight Academy"
"450","Americana College"
"451","Americare Technical School"
"452","Ameritech College of Healthcare"
"453","Ameritech College of Healthcare"
"454","AmesEd"
"455","AMG Medical Institute"
"456","AMG School of Licensed Practical Nursing"
"457","Amherst College"
"458","AmLotus Intensive ESL Program"
"459","Ammi Barber Academy"
"460","Amridge University"
"461","Anabaptist Mennonite Biblical Seminary"
"462","Anaheim Adult Education School"
"463","Anaheim University"
